ISOTime,FLOW
01/01/2010 00:00:00,0.6
02/01/2010 00:00:00,0.54
03/01/2010 00:00:00,0.6
04/01/2010 00:00:00,0.55
05/01/2010 00:00:00,0.44
06/01/2010 00:00:00,0.57
07/01/2010 00:00:00,0.59
08/01/2010 00:00:00,0.63
09/01/2010 00:00:00,0.62
10/01/2010 00:00:00,0.58
11/01/2010 00:00:00,0.71
12/01/2010 00:00:00,0.7
13/01/2010 00:00:00,0.69
14/01/2010 00:00:00,0.66
15/01/2010 00:00:00,0.66
16/01/2010 00:00:00,0.68
17/01/2010 00:00:00,0.64
18/01/2010 00:00:00,0.72
19/01/2010 00:00:00,0.7
20/01/2010 00:00:00,0.67
21/01/2010 00:00:00,0.63
22/01/2010 00:00:00,0.67
23/01/2010 00:00:00,0.63
24/01/2010 00:00:00,0.64
25/01/2010 00:00:00,0.66
26/01/2010 00:00:00,0.73
27/01/2010 00:00:00,0.7
28/01/2010 00:00:00,0.66
29/01/2010 00:00:00,0.67
30/01/2010 00:00:00,0.64
31/01/2010 00:00:00,0.65
01/02/2010 00:00:00,0.66
02/02/2010 00:00:00,0.72
03/02/2010 00:00:00,0.71
04/02/2010 00:00:00,0.73
05/02/2010 00:00:00,0.71
06/02/2010 00:00:00,0.73
07/02/2010 00:00:00,0.71
08/02/2010 00:00:00,0.71
09/02/2010 00:00:00,0.75
10/02/2010 00:00:00,0.81
11/02/2010 00:00:00,0.83
12/02/2010 00:00:00,0.88
13/02/2010 00:00:00,0.71
14/02/2010 00:00:00,0.83
15/02/2010 00:00:00,0.87
16/02/2010 00:00:00,0.86
17/02/2010 00:00:00,0.84
18/02/2010 00:00:00,0.85
19/02/2010 00:00:00,0.78
20/02/2010 00:00:00,0.83
21/02/2010 00:00:00,0.84
22/02/2010 00:00:00,0.66
23/02/2010 00:00:00,0.78
24/02/2010 00:00:00,0.68
25/02/2010 00:00:00,0.65
26/02/2010 00:00:00,0.65
27/02/2010 00:00:00,0.64
28/02/2010 00:00:00,0.66
01/03/2010 00:00:00,0.71
02/03/2010 00:00:00,0.59
03/03/2010 00:00:00,0.7
04/03/2010 00:00:00,0.73
05/03/2010 00:00:00,0.69
06/03/2010 00:00:00,0.72
07/03/2010 00:00:00,0.82
08/03/2010 00:00:00,0.79
09/03/2010 00:00:00,0.62
10/03/2010 00:00:00,0.71
11/03/2010 00:00:00,0.76
12/03/2010 00:00:00,0.8
13/03/2010 00:00:00,0.82
14/03/2010 00:00:00,0.7
15/03/2010 00:00:00,0.71
16/03/2010 00:00:00,0.75
17/03/2010 00:00:00,0.91
18/03/2010 00:00:00,0.88
19/03/2010 00:00:00,0.9
20/03/2010 00:00:00,0.82
21/03/2010 00:00:00,0.84
22/03/2010 00:00:00,0.87
23/03/2010 00:00:00,0.84
24/03/2010 00:00:00,0.67
25/03/2010 00:00:00,0.8
26/03/2010 00:00:00,0.71
27/03/2010 00:00:00,0.77
28/03/2010 00:00:00,0.74
29/03/2010 00:00:00,0.84
30/03/2010 00:00:00,0.78
31/03/2010 00:00:00,0.95
01/04/2010 00:00:00,0.75
02/04/2010 00:00:00,0.74
03/04/2010 00:00:00,0.65
04/04/2010 00:00:00,0.71
05/04/2010 00:00:00,0.78
06/04/2010 00:00:00,0.63
07/04/2010 00:00:00,0.69
08/04/2010 00:00:00,0.59
09/04/2010 00:00:00,0.58
10/04/2010 00:00:00,0.61
11/04/2010 00:00:00,0.8
12/04/2010 00:00:00,0.67
13/04/2010 00:00:00,0.68
14/04/2010 00:00:00,0.66
15/04/2010 00:00:00,0.71
16/04/2010 00:00:00,0.73
17/04/2010 00:00:00,0.71
18/04/2010 00:00:00,0.74
19/04/2010 00:00:00,0.76
20/04/2010 00:00:00,0.83
21/04/2010 00:00:00,0.97
22/04/2010 00:00:00,1.01
23/04/2010 00:00:00,1.02
24/04/2010 00:00:00,0.97
25/04/2010 00:00:00,0.85
26/04/2010 00:00:00,0.89
27/04/2010 00:00:00,0.94
28/04/2010 00:00:00,0.86
29/04/2010 00:00:00,0.95
30/04/2010 00:00:00,0.88
01/05/2010 00:00:00,0.97
02/05/2010 00:00:00,0.82
03/05/2010 00:00:00,1.07
04/05/2010 00:00:00,0.98
05/05/2010 00:00:00,1.22
06/05/2010 00:00:00,1.01
07/05/2010 00:00:00,1.15
08/05/2010 00:00:00,1.12
09/05/2010 00:00:00,1.14
10/05/2010 00:00:00,1.2
11/05/2010 00:00:00,1.17
12/05/2010 00:00:00,1.24
13/05/2010 00:00:00,1.25
