ISOTime,FLOW,SAL,TEMP,TRACER_1,AGE,SS1,OXY,DIC,PH,CH4,SIL,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN,GRN_IN,GRN_IP,DIA,DIA_IN,DIA_IP,CRY,CRY_IN,CRY_IP,ZOO
16/11/2011 00:00:00,0.05,0,26.04,0,0,0,228.44,1600,7.03,0.001,0.02,0.36,0.14,0.16,0.02,111.52,27.88,13.94,3.49,0.13,0.03,8.66,1.31,0.08,4.33,0.65,0.04,10.82,1.63,0.1,0
17/11/2011 00:00:00,0.06,0,26.08,0,0,0,228.44,1600,7.03,0.001,0.02,0.36,0.14,0.16,0.02,111.09,27.77,13.89,3.47,0.13,0.03,8.79,1.33,0.08,4.39,0.66,0.04,10.98,1.66,0.1,0
18/11/2011 00:00:00,0.04,0,26.11,0,0,0,228.44,1600,7.03,0.001,0.02,0.36,0.14,0.16,0.02,111.38,27.84,13.92,3.48,0.13,0.03,9.07,1.37,0.09,4.53,0.68,0.04,11.33,1.71,0.11,0
19/11/2011 00:00:00,0.05,0,26.14,0,0,0,228.44,1600,7.03,0.001,0.02,0.37,0.14,0.15,0.02,111.67,27.92,13.96,3.49,0.14,0.04,9.35,1.41,0.09,4.67,0.71,0.04,11.68,1.76,0.11,0
20/11/2011 00:00:00,0.04,0,26.18,0,0,0,228.44,1600,7.03,0.001,0.02,0.37,0.14,0.15,0.01,111.97,27.99,14,3.5,0.15,0.04,9.63,1.45,0.09,4.81,0.73,0.05,12.03,1.82,0.11,0
21/11/2011 00:00:00,0.04,0,26.21,0,0,0,228.44,1600,7.03,0.001,0.02,0.38,0.14,0.14,0.01,112.26,28.07,14.03,3.51,0.15,0.04,9.91,1.5,0.09,4.95,0.75,0.05,12.38,1.87,0.12,0
22/11/2011 00:00:00,0.04,0,26.23,0,0,0,228.44,1600,7.03,0.001,0.02,0.38,0.14,0.14,0.01,112.56,28.14,14.07,3.52,0.16,0.04,10.19,1.54,0.1,5.09,0.77,0.05,12.73,1.92,0.12,0
23/11/2011 00:00:00,0.04,0,26.24,0,0,0,228.44,1600,7.03,0.001,0.02,0.39,0.14,0.13,0.01,112.85,28.21,14.11,3.53,0.16,0.04,9.86,1.49,0.09,4.93,0.74,0.05,12.33,1.86,0.12,0
24/11/2011 00:00:00,0.05,0,26.26,0,0,0,228.44,1600,7.03,0.001,0.02,0.39,0.14,0.13,0.01,113.14,28.29,14.14,3.54,0.17,0.04,9.54,1.44,0.09,4.77,0.72,0.05,11.93,1.8,0.11,0
25/11/2011 00:00:00,0.03,0,26.28,0,0,0,228.44,1600,7.03,0.001,0.02,0.4,0.14,0.12,0.01,113.44,28.36,14.18,3.54,0.17,0.04,9.22,1.39,0.09,4.61,0.7,0.04,11.52,1.74,0.11,0
26/11/2011 00:00:00,0.03,0,26.29,0,0,0,228.44,1600,7.03,0.001,0.02,0.4,0.14,0.12,0.01,113.73,28.43,14.22,3.55,0.18,0.04,8.89,1.34,0.08,4.45,0.67,0.04,11.12,1.68,0.1,0
27/11/2011 00:00:00,0.03,0,26.31,0,0,0,228.44,1600,7.03,0.001,0.02,0.41,0.14,0.12,0.01,114.02,28.51,14.25,3.56,0.18,0.05,8.57,1.29,0.08,4.29,0.65,0.04,10.71,1.62,0.1,0
28/11/2011 00:00:00,0.03,0,26.33,0,0,0,228.44,1600,7.03,0.001,0.02,0.41,0.14,0.11,0.01,114.32,28.58,14.29,3.57,0.19,0.05,8.25,1.25,0.08,4.12,0.62,0.04,10.31,1.56,0.1,0
29/11/2011 00:00:00,0.04,0,26.34,0,0,0,228.44,1600,7.03,0.001,0.02,0.42,0.14,0.11,0.01,114.61,28.65,14.33,3.58,0.2,0.05,7.93,1.2,0.07,3.96,0.6,0.04,9.91,1.5,0.09,0
30/11/2011 00:00:00,0.04,0,26.36,0,0,0,228.44,1600,7.03,0.001,0.02,0.42,0.14,0.1,0.01,114.91,28.73,14.36,3.59,0.2,0.05,7.6,1.15,0.07,3.8,0.57,0.04,9.5,1.43,0.09,0
01/12/2011 00:00:00,0.03,0,26.38,0,0,0,228.44,1600,7.03,0.001,0.02,0.43,0.14,0.1,0.01,115.2,28.8,14.4,3.6,0.21,0.05,7.28,1.1,0.07,3.64,0.55,0.03,9.1,1.37,0.09,0
02/12/2011 00:00:00,0.03,0,26.4,0,0,0,228.44,1600,7.03,0.001,0.02,0.42,0.14,0.1,0.01,114.61,28.65,14.33,3.58,0.2,0.05,7.29,1.1,0.07,3.65,0.55,0.03,9.12,1.38,0.09,0
03/12/2011 00:00:00,0.03,0,26.41,0,0,0,228.44,1600,7.03,0.001,0.02,0.41,0.14,0.11,0.01,114.02,28.51,14.25,3.56,0.18,0.05,7.31,1.1,0.07,3.65,0.55,0.03,9.13,1.38,0.09,0
04/12/2011 00:00:00,0.02,0,26.43,0,0,0,228.44,1600,7.04,0.001,0.02,0.4,0.14,0.11,0.01,113.44,28.36,14.18,3.54,0.17,0.04,7.32,1.1,0.07,3.66,0.55,0.03,9.15,1.38,0.09,0
05/12/2011 00:00:00,0.03,0,26.45,0,0,0,228.44,1600,7.04,0.001,0.02,0.39,0.14,0.12,0.01,112.85,28.21,14.11,3.53,0.16,0.04,7.33,1.11,0.07,3.67,0.55,0.03,9.17,1.38,0.09,0
06/12/2011 00:00:00,0.03,0,26.46,0,0,0,228.44,1600,7.04,0.001,0.02,0.38,0.14,0.12,0.01,112.26,28.07,14.03,3.51,0.15,0.04,7.35,1.11,0.07,3.67,0.55,0.03,9.18,1.39,0.09,0
07/12/2011 00:00:00,0.03,0,26.48,0,0,0,228.44,1600,7.04,0.001,0.02,0.37,0.14,0.12,0.01,111.67,27.92,13.96,3.49,0.14,0.04,7.36,1.11,0.07,3.68,0.56,0.03,9.2,1.39,0.09,0
08/12/2011 00:00:00,0.04,0,26.5,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,111.09,27.77,13.89,3.47,0.13,0.03,7.37,1.11,0.07,3.69,0.56,0.03,9.22,1.39,0.09,0
09/12/2011 00:00:00,0.03,0,26.52,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,109.13,27.28,13.64,3.41,0.13,0.03,7.56,1.14,0.07,3.78,0.57,0.04,9.44,1.43,0.09,0
10/12/2011 00:00:00,0.02,0,26.54,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,107.17,26.79,13.4,3.35,0.13,0.03,7.74,1.17,0.07,3.87,0.58,0.04,9.67,1.46,0.09,0
11/12/2011 00:00:00,0.03,0,26.56,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,105.21,26.3,13.15,3.29,0.13,0.03,7.92,1.2,0.07,3.96,0.6,0.04,9.9,1.49,0.09,0
12/12/2011 00:00:00,0.05,0,26.58,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,103.25,25.81,12.91,3.23,0.13,0.03,8.1,1.22,0.08,4.05,0.61,0.04,10.13,1.53,0.1,0
13/12/2011 00:00:00,0.02,0,26.6,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,101.29,25.32,12.66,3.17,0.13,0.03,8.28,1.25,0.08,4.14,0.63,0.04,10.35,1.56,0.1,0
14/12/2011 00:00:00,0.03,0,26.62,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,99.33,24.83,12.42,3.1,0.13,0.03,8.46,1.28,0.08,4.23,0.64,0.04,10.58,1.6,0.1,0
15/12/2011 00:00:00,0.02,0,26.63,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,97.37,24.34,12.17,3.04,0.13,0.03,8.65,1.31,0.08,4.32,0.65,0.04,10.81,1.63,0.1,0
16/12/2011 00:00:00,0.01,0,26.65,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,99,24.75,12.38,3.09,0.14,0.03,8.83,1.33,0.08,4.41,0.67,0.04,11.04,1.67,0.1,0
17/12/2011 00:00:00,0.02,0,26.67,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,100.64,25.16,12.58,3.14,0.15,0.04,9.01,1.36,0.09,4.51,0.68,0.04,11.26,1.7,0.11,0
18/12/2011 00:00:00,0.03,0,26.69,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,102.27,25.57,12.78,3.2,0.16,0.04,9.19,1.39,0.09,4.6,0.69,0.04,11.49,1.73,0.11,0
19/12/2011 00:00:00,0.03,0,26.71,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,103.9,25.98,12.99,3.25,0.17,0.04,9.37,1.41,0.09,4.69,0.71,0.04,11.72,1.77,0.11,0
20/12/2011 00:00:00,0.04,0,26.73,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,105.53,26.38,13.19,3.3,0.18,0.04,9.56,1.44,0.09,4.78,0.72,0.05,11.95,1.8,0.11,0
21/12/2011 00:00:00,0.04,0,26.75,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,107.17,26.79,13.4,3.35,0.18,0.05,9.74,1.47,0.09,4.87,0.73,0.05,12.17,1.84,0.11,0
22/12/2011 00:00:00,0.07,0,26.78,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,108.8,27.2,13.6,3.4,0.19,0.05,9.92,1.5,0.09,4.96,0.75,0.05,12.4,1.87,0.12,0
23/12/2011 00:00:00,0.36,0,26.81,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,110.43,27.61,13.8,3.45,0.2,0.05,9.81,1.48,0.09,4.91,0.74,0.05,12.26,1.85,0.12,0
24/12/2011 00:00:00,0.55,0,26.84,0,0,0,228.44,1600,7.04,0.001,0.02,0.36,0.14,0.13,0.01,112.07,28.02,14.01,3.5,0.21,0.05,9.7,1.46,0.09,4.85,0.73,0.05,12.13,1.83,0.11,0
25/12/2011 00:00:00,1.02,0,26.86,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.14,0.13,0.01,113.7,28.42,14.21,3.55,0.22,0.06,9.59,1.45,0.09,4.8,0.72,0.05,11.99,1.81,0.11,0
26/12/2011 00:00:00,0.62,0,26.89,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.14,0.13,0.01,115.33,28.83,14.42,3.6,0.23,0.06,9.48,1.43,0.09,4.74,0.72,0.04,11.85,1.79,0.11,0
27/12/2011 00:00:00,0.83,0,26.92,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.14,0.13,0.01,116.96,29.24,14.62,3.66,0.24,0.06,9.37,1.41,0.09,4.69,0.71,0.04,11.72,1.77,0.11,0
28/12/2011 00:00:00,0.61,0,26.95,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.14,0.13,0.01,118.6,29.65,14.82,3.71,0.25,0.06,9.26,1.4,0.09,4.63,0.7,0.04,11.58,1.75,0.11,0
29/12/2011 00:00:00,0.54,0,26.98,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.14,0.13,0.01,120.23,30.06,15.03,3.76,0.26,0.06,9.15,1.38,0.09,4.58,0.69,0.04,11.44,1.73,0.11,0
30/12/2011 00:00:00,0.47,0,27.01,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.16,0.13,0.01,119.15,29.79,14.89,3.72,0.25,0.06,9.04,1.37,0.09,4.52,0.68,0.04,11.3,1.71,0.11,0
31/12/2011 00:00:00,0.41,0,27.04,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.17,0.13,0.01,118.07,29.52,14.76,3.69,0.24,0.06,8.93,1.35,0.08,4.47,0.67,0.04,11.17,1.69,0.11,0
01/01/2012 00:00:00,0.36,0,27.06,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.19,0.13,0.01,117,29.25,14.62,3.66,0.24,0.06,8.82,1.33,0.08,4.41,0.67,0.04,11.03,1.67,0.1,0
02/01/2012 00:00:00,0.31,0,27.09,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.2,0.13,0.01,115.92,28.98,14.49,3.62,0.23,0.06,8.72,1.32,0.08,4.36,0.66,0.04,10.89,1.64,0.1,0
03/01/2012 00:00:00,0.28,0,27.12,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.22,0.13,0.01,114.84,28.71,14.36,3.59,0.22,0.06,8.61,1.3,0.08,4.3,0.65,0.04,10.76,1.62,0.1,0
04/01/2012 00:00:00,0.25,0,27.15,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.23,0.13,0.01,113.76,28.44,14.22,3.56,0.21,0.05,8.5,1.28,0.08,4.25,0.64,0.04,10.62,1.6,0.1,0
05/01/2012 00:00:00,0.22,0,27.15,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.25,0.13,0.01,112.69,28.17,14.09,3.52,0.21,0.05,8.39,1.27,0.08,4.19,0.63,0.04,10.48,1.58,0.1,0
06/01/2012 00:00:00,0.19,0,27.14,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.27,0.13,0.01,111.61,27.9,13.95,3.49,0.2,0.05,8.02,1.21,0.08,4.01,0.61,0.04,10.02,1.51,0.09,0
07/01/2012 00:00:00,0.17,0,27.14,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.28,0.13,0.01,110.53,27.63,13.82,3.45,0.19,0.05,7.65,1.15,0.07,3.83,0.58,0.04,9.56,1.44,0.09,0
08/01/2012 00:00:00,0.15,0,27.13,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.3,0.13,0.01,109.45,27.36,13.68,3.42,0.18,0.05,7.28,1.1,0.07,3.64,0.55,0.03,9.1,1.37,0.09,0
09/01/2012 00:00:00,0.14,0,27.13,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.31,0.13,0.01,108.38,27.09,13.55,3.39,0.18,0.04,6.92,1.04,0.07,3.46,0.52,0.03,8.65,1.3,0.08,0
10/01/2012 00:00:00,0.12,0,27.12,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.33,0.13,0.01,107.3,26.82,13.41,3.35,0.17,0.04,6.55,0.99,0.06,3.27,0.49,0.03,8.19,1.24,0.08,0
11/01/2012 00:00:00,0.12,0,27.12,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.34,0.13,0.01,106.22,26.56,13.28,3.32,0.16,0.04,6.18,0.93,0.06,3.09,0.47,0.03,7.73,1.17,0.07,0
12/01/2012 00:00:00,0.1,0,27.12,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.36,0.13,0.01,105.14,26.29,13.14,3.29,0.15,0.04,5.81,0.88,0.05,2.91,0.44,0.03,7.27,1.1,0.07,0
13/01/2012 00:00:00,0.1,0,27.11,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.35,0.13,0.01,105.19,26.3,13.15,3.29,0.16,0.04,6.01,0.91,0.06,3,0.45,0.03,7.51,1.13,0.07,0
14/01/2012 00:00:00,0.09,0,27.11,0,0,0,228.44,1600,7.05,0.001,0.02,0.36,0.34,0.13,0.01,105.24,26.31,13.16,3.29,0.16,0.04,6.2,0.94,0.06,3.1,0.47,0.03,7.75,1.17,0.07,0
15/01/2012 00:00:00,0.1,0,27.1,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.33,0.13,0.01,105.29,26.32,13.16,3.29,0.16,0.04,6.4,0.97,0.06,3.2,0.48,0.03,8,1.21,0.08,0
16/01/2012 00:00:00,0.09,0,27.1,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.33,0.12,0.01,105.34,26.33,13.17,3.29,0.16,0.04,6.59,0.99,0.06,3.3,0.5,0.03,8.24,1.24,0.08,0
17/01/2012 00:00:00,0.09,0,27.09,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.32,0.12,0.01,105.39,26.35,13.17,3.29,0.16,0.04,6.78,1.02,0.06,3.39,0.51,0.03,8.48,1.28,0.08,0
18/01/2012 00:00:00,0.09,0,27.09,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.31,0.12,0.01,105.44,26.36,13.18,3.29,0.16,0.04,6.98,1.05,0.07,3.49,0.53,0.03,8.72,1.32,0.08,0
19/01/2012 00:00:00,0.09,0,27.1,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.3,0.12,0.01,105.49,26.37,13.19,3.3,0.16,0.04,7.17,1.08,0.07,3.59,0.54,0.03,8.97,1.35,0.08,0
20/01/2012 00:00:00,0.08,0,27.11,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.3,0.12,0.01,105.53,26.38,13.19,3.3,0.16,0.04,7.08,1.07,0.07,3.54,0.53,0.03,8.85,1.34,0.08,0
21/01/2012 00:00:00,0.56,0,27.12,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.29,0.12,0.01,105.58,26.4,13.2,3.3,0.16,0.04,6.99,1.06,0.07,3.5,0.53,0.03,8.74,1.32,0.08,0
22/01/2012 00:00:00,5.27,0,27.13,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.28,0.12,0.01,105.63,26.41,13.2,3.3,0.16,0.04,6.9,1.04,0.07,3.45,0.52,0.03,8.62,1.3,0.08,0
23/01/2012 00:00:00,2.06,0,27.14,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.27,0.12,0.01,105.68,26.42,13.21,3.3,0.16,0.04,6.81,1.03,0.06,3.4,0.51,0.03,8.51,1.28,0.08,0
24/01/2012 00:00:00,6.52,0,27.15,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.27,0.12,0.01,105.73,26.43,13.22,3.3,0.17,0.04,6.72,1.01,0.06,3.36,0.51,0.03,8.4,1.27,0.08,0
25/01/2012 00:00:00,14.63,0,27.16,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.26,0.11,0.01,105.78,26.44,13.22,3.31,0.17,0.04,6.62,1,0.06,3.31,0.5,0.03,8.28,1.25,0.08,0
26/01/2012 00:00:00,3.9,0,27.17,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.25,0.11,0.01,105.83,26.46,13.23,3.31,0.17,0.04,6.53,0.99,0.06,3.27,0.49,0.03,8.17,1.23,0.08,0
27/01/2012 00:00:00,1.6,0,27.18,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.24,0.11,0.01,105.88,26.47,13.23,3.31,0.17,0.04,6.44,0.97,0.06,3.22,0.49,0.03,8.05,1.22,0.08,0
28/01/2012 00:00:00,1.41,0,27.19,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.23,0.11,0.01,105.93,26.48,13.24,3.31,0.17,0.04,6.35,0.96,0.06,3.18,0.48,0.03,7.94,1.2,0.07,0
29/01/2012 00:00:00,4.72,0,27.21,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.23,0.11,0.01,105.98,26.49,13.25,3.31,0.17,0.04,6.26,0.94,0.06,3.13,0.47,0.03,7.82,1.18,0.07,0
30/01/2012 00:00:00,2.88,0,27.22,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.22,0.11,0.01,106.02,26.51,13.25,3.31,0.17,0.04,6.17,0.93,0.06,3.08,0.47,0.03,7.71,1.16,0.07,0
31/01/2012 00:00:00,5.99,0,27.23,0,0,0,228.44,1600,7.06,0.001,0.02,0.36,0.21,0.11,0.01,106.07,26.52,13.26,3.31,0.17,0.04,6.08,0.92,0.06,3.04,0.46,0.03,7.6,1.15,0.07,0
