time,ShortWave,Clouds,AirTemp,RelHum,WindSpeed,Rain,LongWave
2011-11-15 16:00:00,896.48,0.04,31.56,62.71,0.23,0,418.33
2011-11-15 17:00:00,688.86,0.04,32.54,57.58,0.47,0,416.75
2011-11-15 18:00:00,438.31,0.21,33.73,53.76,0.58,0,443.84
2011-11-15 19:00:00,169.59,0.59,32.78,60.38,0.73,0,468.88
2011-11-15 20:00:00,0,0.9,27.41,88.34,0.72,0.029,510.49
2011-11-15 21:00:00,0,0.9,30.31,77.71,0.66,0,509.57
2011-11-15 22:00:00,0,0.9,28.98,79.68,0.56,0,498.9
2011-11-15 23:00:00,0,0.9,27.23,86.88,0.45,0,494.77
2011-11-16 00:00:00,0,0.9,27.72,84.78,0.45,0,481.32
2011-11-16 01:00:00,0,0.9,27.24,84.13,0.43,0,476.3
2011-11-16 02:00:00,0,0.9,26.78,88.49,0.42,0,476.5
2011-11-16 03:00:00,0,0.9,27.52,87.11,0.53,0,468.98
2011-11-16 04:00:00,0,0.9,27.02,87.88,0.48,0,467.34
2011-11-16 05:00:00,0,0.9,26.58,90.03,0.41,0,467.24
2011-11-16 06:00:00,0,0.9,26.02,92.98,0.33,0,464.92
2011-11-16 07:00:00,0,0.9,25.97,93.53,0.38,0,461.27
2011-11-16 08:00:00,158.18,0.9,27.02,87.24,0.49,0,458.3
2011-11-16 09:00:00,426.61,0.9,26,90.66,0.47,0,465.4
2011-11-16 10:00:00,678.38,0.9,25.36,93.31,0.52,0,464.25
2011-11-16 11:00:00,888.21,0.84,26.48,94.19,0.53,0,470.44
2011-11-16 12:00:00,1038.67,0.7,25.5,78.28,1.03,0,468.1
2011-11-16 13:00:00,1117.93,0.85,23.26,88.89,1.16,0,440.84
2011-11-16 14:00:00,1119.88,0.9,23.03,91.79,1.18,0,441.57
2011-11-16 15:00:00,1044.37,0.58,23.43,94.08,1.03,0.058,413.07
2011-11-16 16:00:00,897.22,0.32,25.52,89.84,1.02,0,396.8
2011-11-16 17:00:00,689.98,0.11,28.76,76.78,0.91,0,391.22
2011-11-16 18:00:00,439.78,0.67,27.75,80.59,0.89,0,446.65
2011-11-16 19:00:00,171.3,0.73,27.54,83.16,1.15,0,454.6
2011-11-16 20:00:00,0,0.9,26.55,86.43,1.91,0,460.21
2011-11-16 21:00:00,0,0.9,25.42,87.48,2.77,0,453.36
2011-11-16 22:00:00,0,0.9,24.72,89.78,3,0,447.9
2011-11-16 23:00:00,0,0.9,24.54,88.68,2.5,0,445.38
2011-11-17 00:00:00,0,0.9,24.3,90.48,2.05,0,446.69
2011-11-17 01:00:00,0,0.9,24.41,90.56,1.67,0,450.16
2011-11-17 02:00:00,0,0.9,25.03,89.16,1.62,0,446.31
2011-11-17 03:00:00,0,0.9,24.82,88.64,1.31,0,455.73
2011-11-17 04:00:00,0,0.9,24.81,88.83,0.99,0,455.26
2011-11-17 05:00:00,0,0.9,24.56,90.49,0.72,0,457.06
2011-11-17 06:00:00,0,0.9,24.52,90.91,0.53,0,458.21
2011-11-17 07:00:00,0,0.9,24.43,91.64,0.41,0,456.11
2011-11-17 08:00:00,158.16,0.9,24.54,90.51,0.36,0,453.46
2011-11-17 09:00:00,426.36,0.9,24.42,90.81,0.39,0,454.4
2011-11-17 10:00:00,677.98,0.9,24.14,91.94,0.34,0,456.87
2011-11-17 11:00:00,887.77,0.89,24.56,91.49,0.35,0,456.44
2011-11-17 12:00:00,1038.29,0.64,25.81,87.64,0.4,0,434.22
2011-11-17 13:00:00,1117.71,0.31,27.91,77.41,0.53,0,413.53
2011-11-17 14:00:00,1119.92,0.04,29.45,69.24,0.63,0,391.17
2011-11-17 15:00:00,1044.75,0.04,30.62,62.38,0.72,0,403.56
2011-11-17 16:00:00,897.97,0.04,31.35,51.44,0.86,0,411.53
2011-11-17 17:00:00,691.12,0.04,32.07,51.66,0.92,0,422.67
2011-11-17 18:00:00,441.29,0.2,32.52,52.13,0.98,0,444.69
2011-11-17 19:00:00,173.04,0.58,34.12,46.71,0.95,0,494.23
2011-11-17 20:00:00,0,0.9,35.03,46.04,0.82,0,516.95
2011-11-17 21:00:00,0,0.9,32.08,59.24,0.98,0,506.71
2011-11-17 22:00:00,0,0.9,29.15,73.83,0.94,0,513.76
2011-11-17 23:00:00,0,0.9,28.83,75.38,0.81,0,499.61
2011-11-18 00:00:00,0,0.9,28.23,79.38,0.67,0,487.97
2011-11-18 01:00:00,0,0.9,28.2,77.84,0.55,0,481.91
2011-11-18 02:00:00,0,0.9,27.64,81.39,0.51,0,473.85
2011-11-18 03:00:00,0,0.9,27.06,85.13,0.43,0,470.44
2011-11-18 04:00:00,0,0.9,25.93,89.86,0.45,0,463.38
2011-11-18 05:00:00,0,0.9,25.51,92.03,0.44,0,465.02
2011-11-18 06:00:00,0,0.9,25.35,92.99,0.39,0,463.48
2011-11-18 07:00:00,0,0.9,25.16,93.51,0.4,0,467.92
2011-11-18 08:00:00,158.06,0.9,25.12,94.23,0.38,0,471.03
2011-11-18 09:00:00,426.03,0.9,25,94.28,0.31,0,471.12
2011-11-18 10:00:00,677.51,0.9,24.82,94.36,0.35,0,460.41
2011-11-18 11:00:00,887.26,0.71,26.19,93.63,0.46,0,458.44
2011-11-18 12:00:00,1037.86,0.58,28.9,82.96,0.51,0,447.75
2011-11-18 13:00:00,1117.47,0.04,29.43,75.91,0.71,0,400.7
2011-11-18 14:00:00,1119.95,0.04,30.9,68.24,0.9,0,410.62
2011-11-18 15:00:00,1045.13,0.04,31.23,67.34,0.87,0,413.35
2011-11-18 16:00:00,898.74,0.9,25.05,85.53,0.89,0.144,489.76
2011-11-18 17:00:00,692.3,0.9,24.73,93.53,1.06,0.173,450.16
2011-11-18 18:00:00,442.83,0.46,25.16,92.58,1.15,0.144,416.98
2011-11-18 19:00:00,174.82,0.57,26.22,91.88,1,0.115,458.19
2011-11-18 20:00:00,0,0.9,26.77,88.36,1.24,0.086,455.54
2011-11-18 21:00:00,0,0.9,24.74,90.38,1.18,0.058,454.31
2011-11-18 22:00:00,0,0.9,24.9,91.31,1.06,0.029,454.21
2011-11-18 23:00:00,0,0.9,24.7,92.83,0.9,0.029,458.68
2011-11-19 00:00:00,0,0.9,24.93,90.48,0.77,0.029,450.81
2011-11-19 01:00:00,0,0.9,25.03,92.13,0.76,0.029,458.02
2011-11-19 02:00:00,0,0.9,24.86,93.56,0.71,0,452.61
2011-11-19 03:00:00,0,0.9,24.57,94.54,0.62,0,458.49
2011-11-19 04:00:00,0,0.9,24.45,95.01,0.49,0,457.35
2011-11-19 05:00:00,0,0.9,24.41,95.03,0.44,0,459.64
2011-11-19 06:00:00,0,0.9,24.23,95.38,0.42,0.029,461.65
2011-11-19 07:00:00,0,0.9,24.21,95.59,0.36,0,460.69
2011-11-19 08:00:00,157.9,0.9,24.47,95.81,0.34,0,460.12
2011-11-19 09:00:00,425.63,0.9,24.68,95.69,0.31,0,460.31
2011-11-19 10:00:00,676.97,0.9,24.64,95.59,0.32,0,462.13
2011-11-19 11:00:00,886.7,0.73,25.03,95.34,0.38,0,447.47
2011-11-19 12:00:00,1037.39,0.26,26.1,92.58,0.55,0,409.44
2011-11-19 13:00:00,1117.2,0.04,27.75,84.61,0.84,0,392.38
2011-11-19 14:00:00,1119.98,0.04,29.46,77.28,0.86,0,392.94
2011-11-19 15:00:00,1045.51,0.46,30.53,70.36,0.87,0,446.02
2011-11-19 16:00:00,899.53,0.61,29.76,71.16,1.39,0,430.83
2011-11-19 17:00:00,693.5,0.55,27.96,82.16,1.4,0,427.08
2011-11-19 18:00:00,444.4,0.28,28.51,79.53,1.51,0,411.85
2011-11-19 19:00:00,176.62,0.57,28.61,76.34,1.53,0,450.35
2011-11-19 20:00:00,0,0.9,26.71,80.96,1.36,0,480.93
2011-11-19 21:00:00,0,0.9,26.67,85.68,1.09,0,476.11
