time,ShortWave,Clouds,AirTemp,RelHum,WindSpeed,Rain,LongWave
2011-11-19 22:00:00,0,0.9,26.66,87.94,0.91,0,473.56
2011-11-19 23:00:00,0,0.9,26.53,86.63,0.69,0,469.47
2011-11-20 00:00:00,0,0.9,26.02,89.33,0.62,0,471.8
2011-11-20 01:00:00,0,0.9,25.79,91.98,0.55,0,464.63
2011-11-20 02:00:00,0,0.9,26.05,89.69,0.53,0,458.4
2011-11-20 03:00:00,0,0.9,25.29,93.01,0.54,0,469.28
2011-11-20 04:00:00,0,0.9,24.87,94.14,0.56,0,466.76
2011-11-20 05:00:00,0,0.9,24.58,94.73,0.55,0,467.43
2011-11-20 06:00:00,0,0.9,24.3,95.06,0.54,0,464.25
2011-11-20 07:00:00,0,0.9,24.17,95.44,0.51,0,460.69
2011-11-20 08:00:00,157.65,0.9,24.22,95.68,0.44,0,462.9
2011-11-20 09:00:00,425.15,0.9,24.15,95.74,0.4,0,463.76
2011-11-20 10:00:00,676.37,0.9,24.32,95.91,0.34,0,454.03
2011-11-20 11:00:00,886.09,0.72,25.77,94.73,0.43,0,453.96
2011-11-20 12:00:00,1036.88,0.35,27.5,86.78,0.69,0,429.73
2011-11-20 13:00:00,1116.9,0.04,28.87,81.91,0.82,0,397.3
2011-11-20 14:00:00,1119.99,0.04,28.67,79.99,0.98,0,406.59
2011-11-20 15:00:00,1045.9,0.31,29.98,74.46,1.04,0,425
2011-11-20 16:00:00,900.34,0.35,25.77,90.76,1.01,0,420.03
2011-11-20 17:00:00,694.72,0.72,25.53,93.49,0.96,0,480.07
2011-11-20 18:00:00,446.01,0.19,26.27,91.43,0.97,0,390.85
2011-11-20 19:00:00,178.46,0.57,29.97,78.18,0.86,0,455.18
2011-11-20 20:00:00,0,0.9,29.39,79.08,0.93,0,514.79
2011-11-20 21:00:00,0,0.9,28.55,81.69,0.81,0,511.1
2011-11-20 22:00:00,0,0.9,28.44,84.26,0.75,0,505.29
2011-11-20 23:00:00,0,0.9,27.78,85.24,0.66,0,492.97
2011-11-21 00:00:00,0,0.9,26.98,89.36,0.64,0,492.27
2011-11-21 01:00:00,0,0.9,26.18,90.53,0.53,0,485.68
2011-11-21 02:00:00,0,0.9,25.56,92.53,0.44,0,477.68
2011-11-21 03:00:00,0,0.9,25.28,93.96,0.39,0,465.98
2011-11-21 04:00:00,0,0.9,25.14,94.68,0.37,0,460.21
2011-11-21 05:00:00,0,0.9,25.03,95.18,0.34,0,467.34
2011-11-21 06:00:00,0,0.9,24.87,95.28,0.3,0,463.28
2011-11-21 07:00:00,0,0.9,24.9,95.63,0.27,0,459.16
2011-11-21 08:00:00,157.34,0.9,24.8,95.83,0.24,0,467.05
2011-11-21 09:00:00,424.6,0.9,24.77,95.88,0.23,0,464.73
2011-11-21 10:00:00,675.7,0.9,24.22,95.98,0.3,0,463.57
2011-11-21 11:00:00,885.42,0.8,25.05,96.29,0.42,0,464.92
2011-11-21 12:00:00,1036.34,0.47,25.88,96.21,0.52,0,446.39
2011-11-21 13:00:00,1116.59,0.04,28.33,88.29,0.65,0,396.89
2011-11-21 14:00:00,1120,0.21,30.36,76.86,0.66,0,419.37
2011-11-21 15:00:00,1046.3,0.04,31.58,69.28,0.7,0,406.75
2011-11-21 16:00:00,901.16,0.04,31.85,65.71,0.8,0,413.84
2011-11-21 17:00:00,695.97,0.04,32.52,62.86,0.77,0,420.16
2011-11-21 18:00:00,447.64,0.19,33.39,59.03,0.73,0,448.98
2011-11-21 19:00:00,180.33,0.56,35.33,53.81,0.65,0,489.14
2011-11-21 20:00:00,0,0.9,32.46,65.23,0.58,0,524.07
2011-11-21 21:00:00,0,0.9,26.57,83.49,0.88,0,470.25
2011-11-21 22:00:00,0,0.9,27.09,83.06,1.23,0,473.37
2011-11-21 23:00:00,0,0.9,27.29,80.14,1.41,0,468.6
2011-11-22 00:00:00,0,0.9,27.03,82.04,1.22,0,476.5
2011-11-22 01:00:00,0,0.9,26.42,84.98,0.97,0,468.21
2011-11-22 02:00:00,0,0.9,26.09,89.13,0.78,0,463.38
2011-11-22 03:00:00,0,0.9,26.21,87.01,0.69,0,457.54
2011-11-22 04:00:00,0,0.9,26.42,86.44,0.65,0,455.26
2011-11-22 05:00:00,0,0.9,26.06,88.14,0.64,0,450.53
2011-11-22 06:00:00,0,0.9,25.23,92.04,0.6,0,457.54
2011-11-22 07:00:00,0,0.9,24.82,93.54,0.55,0,473.46
2011-11-22 08:00:00,156.95,0.9,24.78,94.34,0.47,0,456.11
2011-11-22 09:00:00,423.98,0.9,24.77,94.48,0.42,0,449.78
2011-11-22 10:00:00,674.97,0.9,25.06,94.68,0.34,0,462.51
2011-11-22 11:00:00,884.7,0.81,25.92,94.08,0.3,0,462.73
2011-11-22 12:00:00,1035.76,0.83,27,89.96,0.3,0,469.52
2011-11-22 13:00:00,1116.25,0.05,28.83,83.83,0.41,0,393.45
2011-11-22 14:00:00,1120,0.04,29.48,81.94,0.58,0,398.59
2011-11-22 15:00:00,1046.7,0.04,31.04,70.14,0.72,0,411.44
2011-11-22 16:00:00,902.01,0.04,31.98,67.76,0.79,0,419.25
2011-11-22 17:00:00,697.25,0.04,33.35,62.54,0.76,0,424.18
2011-11-22 18:00:00,449.3,0.45,34.3,58.11,0.77,0,479.53
2011-11-22 19:00:00,182.23,0.56,32.73,65.79,0.91,0,490.69
2011-11-22 20:00:00,0,0.9,28.01,80.89,1.01,0,484.99
2011-11-22 21:00:00,0,0.9,27.36,86.33,0.98,0,487.27
2011-11-22 22:00:00,0,0.9,28.41,81.79,1.14,0,489.56
2011-11-22 23:00:00,0,0.9,28.44,79.23,1.1,0,484.89
2011-11-23 00:00:00,0,0.9,28.11,86.03,0.98,0,483.5
2011-11-23 01:00:00,0,0.9,25.85,91.73,1.3,0,475.32
2011-11-23 02:00:00,0,0.9,25.79,91.24,1.28,0,466.56
2011-11-23 03:00:00,0,0.9,25.28,92.28,1.06,0,466.37
2011-11-23 04:00:00,0,0.9,25.35,92.83,0.83,0,466.56
2011-11-23 05:00:00,0,0.9,25.37,92.88,0.7,0,468.6
2011-11-23 06:00:00,0,0.9,25.25,92.18,0.6,0,464.44
2011-11-23 07:00:00,0,0.9,25.06,92.79,0.68,0,464.05
2011-11-23 08:00:00,156.49,0.9,25.28,92.01,0.8,0,469.28
2011-11-23 09:00:00,423.29,0.9,25.21,92.58,1.02,0,469.37
2011-11-23 10:00:00,674.18,0.9,25.31,92.88,1.03,0,467.82
2011-11-23 11:00:00,883.94,0.9,25.53,92.01,1.05,0,466.85
2011-11-23 12:00:00,1035.14,0.53,26.71,86.64,1.28,0,430.44
2011-11-23 13:00:00,1115.9,0.04,27.92,83.74,1.44,0,387.65
2011-11-23 14:00:00,1119.99,0.05,29.55,76.03,1.74,0,398.97
2011-11-23 15:00:00,1047.12,0.04,30.48,71.04,1.96,0,405.28
2011-11-23 16:00:00,902.87,0.04,31.71,66.94,2.04,0,409.22
2011-11-23 17:00:00,698.55,0.04,31.78,67.04,2.02,0,415.67
2011-11-23 18:00:00,450.99,0.19,32.53,63.43,1.94,0,436.78
2011-11-23 19:00:00,184.16,0.56,33.04,60.71,1.75,0,484.35
2011-11-23 20:00:00,0,0.9,27.3,86.38,1.6,0,509.87
2011-11-23 21:00:00,0,0.9,28.01,85.44,1.38,0,472.39
2011-11-23 22:00:00,0,0.9,28.38,83.74,1.06,0,478.66
2011-11-23 23:00:00,0,0.9,27.48,88.64,0.75,0,484.79
2011-11-24 00:00:00,0,0.9,27.17,89.51,0.51,0,485.38
2011-11-24 01:00:00,0,0.9,27.28,87.14,0.33,0,490.36
2011-11-24 02:00:00,0,0.9,26.81,89.04,0.21,0,491.26
2011-11-24 03:00:00,0,0.9,26.76,87.48,0.13,0,492.27
2011-11-24 04:00:00,0,0.9,27.07,85.36,0.08,0,490.36
2011-11-24 05:00:00,0,0.9,27.24,81.69,0.16,0,487.27
2011-11-24 06:00:00,0,0.9,26.86,83.13,0.2,0,484.09
2011-11-24 07:00:00,0,0.9,25.82,87.58,0.2,0,479.45
2011-11-24 08:00:00,155.96,0.9,25.67,88.94,0.21,0,479.15
2011-11-24 09:00:00,422.54,0.9,25.74,88.04,0.23,0,474.44
2011-11-24 10:00:00,673.33,0.9,25.92,86.56,0.25,0,474.44
2011-11-24 11:00:00,883.13,0.69,27.97,78.93,0.38,0,458.08
2011-11-24 12:00:00,1034.49,0.37,28.9,75.11,0.59,0,427.93
2011-11-24 13:00:00,1115.53,0.11,30,71.59,0.83,0,406.26
2011-11-24 14:00:00,1119.99,0.04,31.07,66.34,1.16,0,403.07
2011-11-24 15:00:00,1047.54,0.04,31.52,62.86,1.56,0,410.54
2011-11-24 16:00:00,903.75,0.04,32.21,61.79,1.82,0,417
2011-11-24 17:00:00,699.88,0.04,32.89,58.26,2.06,0,420.75
2011-11-24 18:00:00,452.71,0.19,33.84,55.78,1.96,0,442.94
2011-11-24 19:00:00,186.11,0.55,34.2,53.89,1.95,0,491.45
2011-11-24 20:00:00,0,0.9,34.78,52.16,1.87,0,534.47
2011-11-24 21:00:00,0,0.9,34.16,53.36,1.76,0,533.43
2011-11-24 22:00:00,0,0.9,35,54.56,1.42,0,529.26
2011-11-24 23:00:00,0,0.9,31.65,67.46,1.05,0,525.31
2011-11-25 00:00:00,0,0.9,30.1,72.14,0.99,0,491.86
2011-11-25 01:00:00,0,0.9,29.52,74.88,0.98,0,493.87
2011-11-25 02:00:00,0,0.9,29.2,76.64,0.81,0,484.19
2011-11-25 03:00:00,0,0.9,28.94,78.31,0.68,0,480.14
2011-11-25 04:00:00,0,0.9,28.31,82.11,0.55,0,475.22
2011-11-25 05:00:00,0,0.9,27.9,86.39,0.41,0,473.76
2011-11-25 06:00:00,0,0.9,27.71,86.04,0.35,0,473.27
2011-11-25 07:00:00,0,0.9,28.09,79.08,0.38,0,498.5
2011-11-25 08:00:00,155.37,0.9,27.2,85.81,0.33,0,494.37
2011-11-25 09:00:00,421.71,0.9,26.34,89.56,0.35,0,484.89
2011-11-25 10:00:00,672.43,0.9,26.1,90.26,0.3,0,474.34
2011-11-25 11:00:00,882.27,0.82,27.08,86.24,0.33,0,472.22
2011-11-25 12:00:00,1033.82,0.43,29.4,78.76,0.4,0,437.58
2011-11-25 13:00:00,1115.14,0.19,30.69,69.58,0.55,0,415.42
2011-11-25 14:00:00,1119.98,0.04,31.84,66.04,0.79,0,413.26
2011-11-25 15:00:00,1047.97,0.04,32.74,61.24,1.11,0,419.5
2011-11-25 16:00:00,904.64,0.04,33.53,57.83,1.25,0,424.6
2011-11-25 17:00:00,701.23,0.04,33.83,52.76,1.61,0,428.89
2011-11-25 18:00:00,454.45,0.19,34.23,52.48,1.7,0,449.57
2011-11-25 19:00:00,188.09,0.55,34.35,53.46,1.56,0,496.74
2011-11-25 20:00:00,0,0.9,34.81,51.16,1.29,0,546.54
2011-11-25 21:00:00,0,0.9,35.76,48.59,1.07,0,541.59
2011-11-25 22:00:00,0,0.9,32.01,60.01,1.09,0,529.05
2011-11-25 23:00:00,0,0.9,28.82,66.81,1.09,0,505.9
2011-11-26 00:00:00,0,0.9,26.71,71.33,1.03,0,472.78
2011-11-26 01:00:00,0,0.9,25.98,74.13,0.99,0,469.08
2011-11-26 02:00:00,0,0.9,25.9,75.49,0.88,0,479.35
2011-11-26 03:00:00,0,0.9,26.44,75.76,0.8,0,473.56
2011-11-26 04:00:00,0,0.9,26.96,76.26,0.64,0,477.38
2011-11-26 05:00:00,0,0.9,26.34,79.01,0.49,0,475.52
2011-11-26 06:00:00,0,0.9,26.36,82.38,0.47,0,478.56
2011-11-26 07:00:00,0,0.9,25.46,86.91,0.43,0,478.17
2011-11-26 08:00:00,154.7,0.9,25.52,89.06,0.37,0,476.6
2011-11-26 09:00:00,420.82,0.9,26.15,85.01,0.44,0,453.08
2011-11-26 10:00:00,671.47,0.9,25.88,87.16,0.43,0,475.71
2011-11-26 11:00:00,881.38,0.72,27.16,83.69,0.54,0,455.29
2011-11-26 12:00:00,1033.11,0.34,28.36,79.36,0.68,0,423.86
2011-11-26 13:00:00,1114.74,0.27,30.23,73.94,0.75,0,426.83
2011-11-26 14:00:00,1119.97,0.04,31.3,68.46,0.78,0,408.23
2011-11-26 15:00:00,1048.41,0.04,32.45,60.59,0.98,0,418.08
2011-11-26 16:00:00,905.56,0.04,33.53,55.19,1.21,0,426.53
2011-11-26 17:00:00,702.61,0.04,34.51,48.91,1.39,0,432.43
2011-11-26 18:00:00,456.22,0.18,35.03,47.99,1.43,0,454.47
2011-11-26 19:00:00,190.09,0.55,35.74,45.78,1.41,0,501.37
2011-11-26 20:00:00,0,0.9,36.26,43.4,1.3,0,545.49
2011-11-26 21:00:00,0,0.9,35.86,43.53,1.23,0,549.49
2011-11-26 22:00:00,0,0.9,36.66,46.98,0.98,0,547.91
2011-11-26 23:00:00,0,0.9,32.02,60.56,0.79,0,529.78
2011-11-27 00:00:00,0,0.9,30.76,71.66,0.69,0,515.82
2011-11-27 01:00:00,0,0.9,30.4,71.43,0.77,0,498.3
2011-11-27 02:00:00,0,0.9,29.89,79.69,1.14,0,491.76
2011-11-27 03:00:00,0,0.9,29.61,81.03,1.09,0,489.37
2011-11-27 04:00:00,0,0.9,29.16,83.23,0.93,0,489.66
2011-11-27 05:00:00,0,0.9,28.99,84.84,0.91,0,488.17
2011-11-27 06:00:00,0,0.9,28.47,87.09,0.8,0,482.41
2011-11-27 07:00:00,0,0.9,27.66,90.41,0.66,0,478.17
2011-11-27 08:00:00,153.97,0.9,27.27,83.29,0.64,0,480.83
2011-11-27 09:00:00,419.87,0.9,26.65,85.31,0.6,0,476.99
2011-11-27 10:00:00,670.45,0.9,26.26,87.08,0.53,0,472.97
2011-11-27 11:00:00,880.44,0.71,27.88,80.61,0.52,0,455.53
2011-11-27 12:00:00,1032.38,0.33,28.94,77.88,0.64,0,436.49
2011-11-27 13:00:00,1114.32,0.09,30.91,73.19,0.9,0,409.83
2011-11-27 14:00:00,1119.96,0.04,31.9,68.46,1.14,0,418.08
2011-11-27 15:00:00,1048.87,0.04,32.51,64.79,1.38,0,424.6
2011-11-27 16:00:00,906.5,0.04,33.59,62.21,1.44,0,428.97
2011-11-27 17:00:00,704.01,0.04,34.15,59.34,1.38,0,432.09
2011-11-27 18:00:00,458.02,0.18,35.24,54.98,1.27,0,456.9
2011-11-27 19:00:00,192.11,0.54,36.3,50.08,1.11,0,501.54
2011-11-27 20:00:00,0,0.9,36.05,49.18,1.05,0,553.73
2011-11-27 21:00:00,0,0.9,37.33,45.06,0.91,0,553.09
2011-11-27 22:00:00,0,0.9,34.32,57.53,0.7,0,542.96
2011-11-27 23:00:00,0,0.9,32.08,67.36,0.85,0,516.74
2011-11-28 00:00:00,0,0.9,30.5,77.94,1.39,0,498.1
2011-11-28 01:00:00,0,0.9,29.41,79.83,1.77,0,487.57
2011-11-28 02:00:00,0,0.9,28.9,80.28,2.07,0,481.22
2011-11-28 03:00:00,0,0.9,28.79,81.08,2.18,0,476.79
2011-11-28 04:00:00,0,0.9,28.59,84.18,2.2,0,473.66
2011-11-28 05:00:00,0,0.9,28.26,85.74,2.08,0,474.05
2011-11-28 06:00:00,0,0.9,27.96,86.99,1.78,0,476.6
2011-11-28 07:00:00,0,0.9,28.02,88.23,1.34,0,475.32
2011-11-28 08:00:00,153.17,0.9,27.46,89.71,1.04,0,475.22
2011-11-28 09:00:00,418.86,0.9,27.36,90.43,0.81,0,471.32
2011-11-28 10:00:00,669.39,0.9,26.6,92.73,0.63,0,474.15
2011-11-28 11:00:00,879.46,0.9,27.18,91.94,0.6,0,481.52
2011-11-28 12:00:00,1031.62,0.46,28.82,82.51,0.66,0,435.26
2011-11-28 13:00:00,1113.9,0.1,28.67,77.24,0.79,0,407.1
2011-11-28 14:00:00,1119.95,0.04,29.16,76.58,0.81,0,380.29
2011-11-28 15:00:00,1049.33,0.84,31.1,71.53,0.86,0,474.98
2011-11-28 16:00:00,907.46,0.69,32.04,68.84,0.87,0,452.56
2011-11-28 17:00:00,705.43,0.42,29.41,77.46,1.16,0,426.12
2011-11-28 18:00:00,459.84,0.44,28.29,76.83,1.93,0,428.16
2011-11-28 19:00:00,194.16,0.6,28.81,76.58,2.05,0,452.47
2011-11-28 20:00:00,0,0.9,30.05,70.09,1.84,0,492.16
2011-11-28 21:00:00,0,0.9,29.85,70.33,1.64,0,497.19
2011-11-28 22:00:00,0,0.9,29.28,74.44,1.63,0,488.17
2011-11-28 23:00:00,0,0.9,28.55,75.78,1.41,0,480.24
2011-11-29 00:00:00,0,0.9,28.18,78.51,1.32,0,471.71
2011-11-29 01:00:00,0,0.9,27.65,83.29,1.2,0,469.47
2011-11-29 02:00:00,0,0.9,27.27,85.34,1.2,0,467.72
2011-11-29 03:00:00,0,0.9,26.71,87.56,1,0,468.5
2011-11-29 04:00:00,0,0.9,26.58,89.49,0.77,0,466.95
2011-11-29 05:00:00,0,0.9,25.76,91.89,0.58,0,469.96
2011-11-29 06:00:00,0,0.9,25.46,92.89,0.48,0,452.7
2011-11-29 07:00:00,0,0.9,25.57,93.51,0.36,0,451.38
2011-11-29 08:00:00,152.31,0.9,25.65,92.14,0.3,0,455.64
2011-11-29 09:00:00,417.79,0.9,25.4,92.41,0.28,0,452.51
2011-11-29 10:00:00,668.27,0.9,25.3,93.69,0.26,0,460.5
2011-11-29 11:00:00,878.45,0.79,26.31,92.76,0.31,0,445.82
2011-11-29 12:00:00,1030.84,0.37,28.54,84.13,0.45,0,436.24
2011-11-29 13:00:00,1113.46,0.13,30.12,73.91,0.66,0,415.72
2011-11-29 14:00:00,1119.95,0.04,31.42,66.83,0.83,0,414.67
2011-11-29 15:00:00,1049.81,0.04,31.59,67.79,0.95,0,428.8
2011-11-29 16:00:00,908.43,0.04,33.03,62.74,0.91,0,429.73
2011-11-29 17:00:00,706.88,0.12,33.63,58.66,0.94,0,443.44
2011-11-29 18:00:00,461.68,0.18,34.63,55.11,0.89,0,457.87
2011-11-29 19:00:00,196.22,0.54,34.86,52.29,0.84,0,500.03
2011-11-29 20:00:00,0,0.9,35.42,51.31,0.79,0,551.5
2011-11-29 21:00:00,0,0.9,36.62,50.89,0.66,0,537.82
2011-11-29 22:00:00,0,0.9,32.32,66.26,0.8,0,523.45
2011-11-29 23:00:00,0,0.9,31.31,69.01,1.16,0,502.75
2011-11-30 00:00:00,0,0.9,30.18,76.53,1.37,0,496.68
2011-11-30 01:00:00,0,0.9,28.59,87.28,1.2,0,491.26
2011-11-30 02:00:00,0,0.9,28.96,87.18,1.04,0,486.97
2011-11-30 03:00:00,0,0.9,28.52,90.19,0.81,0,486.87
2011-11-30 04:00:00,0,0.9,28.19,91.84,0.7,0,484.79
2011-11-30 05:00:00,0,0.9,27.45,91.21,0.57,0,480.24
2011-11-30 06:00:00,0,0.9,27.01,92.91,0.51,0,480.93
2011-11-30 07:00:00,0,0.9,26.73,93.71,0.43,0,477.19
2011-11-30 08:00:00,151.39,0.9,26.47,93.28,0.36,0,470.15
2011-11-30 09:00:00,416.66,0.9,26.33,93.33,0.3,0,468.01
2011-11-30 10:00:00,667.11,0.9,26.23,93.14,0.26,0,477.68
2011-11-30 11:00:00,877.4,0.9,26.98,92.34,0.33,0,472.58
2011-11-30 12:00:00,1030.04,0.46,28.74,86.68,0.54,0,450.93
2011-11-30 13:00:00,1113.02,0.09,31.27,77.99,0.65,0,422.05
2011-11-30 14:00:00,1119.95,0.04,31.6,72.99,0.64,0,414.17
2011-11-30 15:00:00,1050.3,0.04,32.84,65.18,0.67,0,421.75
2011-11-30 16:00:00,909.43,0.04,33.65,64.13,0.72,0,428.55
2011-11-30 17:00:00,708.35,0.04,34.12,58.59,0.81,0,435.9
2011-11-30 18:00:00,463.55,0.18,35.05,56.03,0.82,0,461
2011-11-30 19:00:00,198.31,0.53,36.07,50.03,0.87,0,499.41
