time,flow,SAL,TEMP,TRACER_1,AGE,SS1,OXY,DIC,PH,CH4,SIL,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN,GRN_IN,GRN_IP,DIA,DIA_IN,DIA_IP,CRY,CRY_IN,CRY_IP,ZOO
2012-01-27 00:00:00,6.88,0.01,27.18,0,0,0,220.72,100,7.56,0.001,0.02,0.87,0.42,0.12,0.01,92,23,11.5,2.88,0.15,0.04,2.26,0.34,0.02,1.13,0.17,0.01,5,3.63,0.23,0
2012-01-28 00:00:00,5.99,0.01,27.19,0,0,0,220.38,100,7.55,0.001,0.02,0.9,0.44,0.12,0.01,92.56,23.14,11.57,2.89,0.16,0.04,2.25,0.34,0.02,1.12,0.17,0.01,5,3.6,0.23,0
2012-01-29 00:00:00,35.34,0.01,27.21,0,0,0,220.04,100,7.54,0.001,0.02,0.92,0.45,0.11,0.01,93.13,23.28,11.64,2.91,0.16,0.04,2.23,0.34,0.02,1.12,0.17,0.01,5,3.58,0.22,0
2012-01-30 00:00:00,16.09,0.01,27.22,0,0,0,219.71,100,7.53,0.001,0.02,0.94,0.46,0.11,0.01,93.69,23.42,11.71,2.93,0.17,0.04,2.21,0.33,0.02,1.11,0.17,0.01,5,3.55,0.22,0
2012-01-31 00:00:00,36.74,0.01,27.23,0,0,0,219.37,100,7.52,0.001,0.02,0.96,0.47,0.1,0.01,94.25,23.56,11.78,2.95,0.17,0.04,2.2,0.33,0.02,1.1,0.17,0.01,5,3.53,0.22,0
2012-02-01 00:00:00,123.78,0.01,27.24,0,0,0,219.03,100,7.5,0.001,0.02,0.99,0.49,0.1,0.01,94.81,23.7,11.85,2.96,0.18,0.04,2.18,0.33,0.02,1.09,0.16,0.01,5,3.5,0.22,0
2012-02-02 00:00:00,10.08,0.01,27.25,0,0,0,218.7,100,7.49,0.001,0.02,1.01,0.5,0.09,0.01,95.37,23.84,11.92,2.98,0.18,0.04,2.17,0.33,0.02,1.08,0.16,0.01,5,3.48,0.22,0
2012-02-03 00:00:00,8.78,0.01,27.26,0,0,0,218.36,100,7.48,0.001,0.02,1.03,0.51,0.09,0.01,95.93,23.98,11.99,3,0.18,0.05,2.15,0.32,0.02,1.08,0.16,0.01,5,3.45,0.22,0
2012-02-04 00:00:00,7.57,0.01,27.27,0,0,0,218.02,100,7.47,0.001,0.02,1.05,0.52,0.08,0.01,96.5,24.12,12.06,3.02,0.19,0.05,2.14,0.32,0.02,1.07,0.16,0.01,5,3.43,0.21,0
2012-02-05 00:00:00,6.63,0.01,27.28,0,0,0,217.69,100,7.46,0.001,0.02,1.08,0.53,0.08,0.01,97.06,24.26,12.13,3.03,0.19,0.05,2.12,0.32,0.02,1.06,0.16,0.01,5,3.4,0.21,0
2012-02-06 00:00:00,5.84,0.01,27.29,0,0,0,217.35,100,7.45,0.001,0.02,1.1,0.55,0.07,0.01,97.62,24.4,12.2,3.05,0.2,0.05,2.11,0.32,0.02,1.05,0.16,0.01,5,3.38,0.21,0
2012-02-07 00:00:00,5.26,0.01,27.3,0,0,0,217.01,100,7.44,0.001,0.02,1.12,0.56,0.07,0.01,98.18,24.55,12.27,3.07,0.2,0.05,2.09,0.32,0.02,1.04,0.16,0.01,5,3.35,0.21,0
2012-02-08 00:00:00,4.59,0.01,27.31,0,0,0,216.67,100,7.43,0.001,0.02,1.14,0.57,0.06,0.01,98.74,24.69,12.34,3.09,0.21,0.05,2.07,0.31,0.02,1.04,0.16,0.01,5,3.33,0.21,0
2012-02-09 00:00:00,4.08,0.01,27.32,0,0,0,216.34,100,7.42,0.001,0.02,1.11,0.55,0.07,0.01,97.37,24.34,12.17,3.04,0.2,0.05,2.06,0.31,0.02,1.03,0.16,0.01,21.87,3.3,0.21,0
2012-02-10 00:00:00,3.64,0.01,27.33,0,0,0,216,100,7.4,0.001,0.02,1.07,0.53,0.07,0.01,96,24,12,3,0.2,0.05,2.04,0.31,0.02,1.02,0.15,0.01,21.71,3.28,0.2,0
2012-02-11 00:00:00,3.27,0.01,27.34,0,0,0,215.66,100,7.39,0.001,0.02,1.03,0.51,0.07,0.01,94.63,23.66,11.83,2.96,0.2,0.05,2.03,0.31,0.02,1.01,0.15,0.01,21.54,3.25,0.2,0
2012-02-12 00:00:00,2.96,0.01,27.35,0,0,0,215.33,100,7.38,0.001,0.02,0.99,0.49,0.07,0.01,93.26,23.31,11.66,2.91,0.19,0.05,2.01,0.3,0.02,1.01,0.15,0.01,21.38,3.23,0.2,0
2012-02-13 00:00:00,2.67,0.01,27.36,0,0,0,214.99,100,7.37,0.001,0.02,0.96,0.47,0.07,0.01,91.89,22.97,11.49,2.87,0.19,0.05,2,0.3,0.02,1,0.15,0.01,21.21,3.2,0.2,0
2012-02-14 00:00:00,2.45,0.01,27.37,0,0,0,214.65,100,7.36,0.001,0.02,0.92,0.45,0.07,0.01,90.51,22.63,11.31,2.83,0.18,0.05,1.98,0.3,0.02,0.99,0.15,0.01,21.04,3.18,0.2,0
2012-02-15 00:00:00,2.26,0.01,27.38,0,0,0,214.32,100,7.35,0.001,0.02,0.88,0.43,0.08,0.01,89.14,22.29,11.14,2.79,0.18,0.05,1.97,0.3,0.02,0.98,0.15,0.01,20.88,3.15,0.2,0
2012-02-16 00:00:00,2.1,0.01,27.39,0,0,0,213.98,100,7.34,0.001,0.02,0.84,0.41,0.08,0.01,87.77,21.94,10.97,2.74,0.18,0.04,1.95,0.29,0.02,0.97,0.15,0.01,20.71,3.13,0.2,0
2012-02-17 00:00:00,1.94,0.01,27.4,0,0,0,213.64,100,7.33,0.001,0.02,0.81,0.39,0.08,0.01,86.4,21.6,10.8,2.7,0.17,0.04,1.93,0.29,0.02,0.97,0.15,0.01,20.55,3.1,0.19,0
2012-02-18 00:00:00,1.83,0.01,27.41,0,0,0,213.31,100,7.32,0.001,0.02,0.77,0.37,0.08,0.01,85.03,21.26,10.63,2.66,0.17,0.04,1.92,0.29,0.02,0.96,0.14,0.01,20.38,3.08,0.19,0
2012-02-19 00:00:00,1.73,0.01,27.43,0,0,0,212.97,100,7.3,0.001,0.02,0.73,0.35,0.08,0.01,83.66,20.91,10.46,2.61,0.17,0.04,1.9,0.29,0.02,0.95,0.14,0.01,20.22,3.05,0.19,0
2012-02-20 00:00:00,1.64,0.01,27.44,0,0,0,212.63,100,7.29,0.001,0.02,0.69,0.33,0.08,0.01,82.29,20.57,10.29,2.57,0.16,0.04,1.89,0.28,0.02,0.94,0.14,0.01,20.05,3.03,0.19,0
2012-02-21 00:00:00,1.6,0.01,27.45,0,0,0,212.29,100,7.28,0.001,0.02,0.66,0.31,0.08,0.01,80.91,20.23,10.11,2.53,0.16,0.04,1.87,0.28,0.02,0.94,0.14,0.01,19.88,3,0.19,0
2012-02-22 00:00:00,4.81,0.01,27.46,0,0,0,211.96,100,7.27,0.001,0.02,0.62,0.29,0.09,0.01,79.54,19.89,9.94,2.49,0.15,0.04,1.86,0.28,0.02,0.93,0.14,0.01,19.72,2.98,0.19,0
2012-02-23 00:00:00,8.65,0.01,27.47,0,0,0,211.62,100,7.26,0.001,0.02,0.58,0.27,0.09,0.01,78.17,19.54,9.77,2.44,0.15,0.04,1.84,0.28,0.02,0.92,0.14,0.01,19.55,2.95,0.18,0
2012-02-24 00:00:00,9.23,0.01,27.48,0,0,0,211.28,100,7.25,0.001,0.02,0.54,0.24,0.09,0.01,76.8,19.2,9.6,2.4,0.15,0.04,1.82,0.28,0.02,0.91,0.14,0.01,19.39,2.93,0.18,0
2012-02-25 00:00:00,27.71,0.01,27.49,0,0,0,210.95,100,7.24,0.001,0.02,0.51,0.22,0.09,0.01,75.43,18.86,9.43,2.36,0.14,0.04,1.81,0.27,0.02,0.9,0.14,0.01,19.22,2.9,0.18,0
2012-02-26 00:00:00,12.02,0.01,27.5,0,0,0,210.61,100,7.23,0.001,0.02,0.47,0.2,0.09,0.01,74.06,18.51,9.26,2.31,0.14,0.04,1.79,0.27,0.02,0.9,0.14,0.01,19.06,2.88,0.18,0
2012-02-27 00:00:00,8.5,0.01,27.51,0,0,0,210.27,100,7.22,0.001,0.02,0.43,0.18,0.09,0.01,72.69,18.17,9.09,2.27,0.14,0.03,1.78,0.27,0.02,0.89,0.13,0.01,18.89,2.85,0.18,0
2012-02-28 00:00:00,2.92,0.01,27.52,0,0,0,209.94,100,7.21,0.001,0.02,0.39,0.16,0.1,0.01,71.31,17.83,8.91,2.23,0.13,0.03,1.76,0.27,0.02,0.88,0.13,0.01,18.72,2.83,0.18,0
2012-02-29 00:00:00,2.93,0.01,27.53,0,0,0,209.6,100,7.19,0.001,0.02,0.36,0.14,0.1,0.01,69.94,17.49,8.74,2.19,0.13,0.03,1.75,0.26,0.02,0.87,0.13,0.01,18.56,2.8,0.18,0
2012-03-01 00:00:00,5.7,0.01,27.54,0,0,0,209.26,100,7.18,0.001,0.02,0.36,0.14,0.1,0.01,69.94,17.49,8.74,2.19,0.13,0.03,1.74,0.26,0.02,0.87,0.13,0.01,18.45,2.78,0.17,0
2012-03-02 00:00:00,23.67,0.01,27.55,0,0,0,208.93,100,7.17,0.001,0.02,0.36,0.14,0.1,0.01,69.94,17.49,8.74,2.19,0.13,0.03,1.73,0.26,0.02,0.86,0.13,0.01,18.34,2.77,0.17,0
