time,flow,SAL,TEMP,TRACER_1,AGE,SS1,OXY,DIC,PH,CH4,SIL,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN,GRN_IN,GRN_IP,DIA,DIA_IN,DIA_IP,CRY,CRY_IN,CRY_IP,ZOO
2011-11-16 00:00:00,0.1,0.01,26.04,0,0,0,223.62,100,7.58,0.001,0.02,0.36,0.14,0.19,0.02,91.66,22.91,11.46,2.86,0.1,0.02,1.63,0.25,0.02,0.82,0.12,0.01,17.33,2.62,0.16,0
2011-11-17 00:00:00,0.17,0.01,26.08,0,0,0,222.08,100,7.53,0.001,0.02,0.36,0.14,0.18,0.02,90.84,22.71,11.36,2.84,0.1,0.02,1.65,0.25,0.02,0.83,0.12,0.01,17.55,2.65,0.17,0
2011-11-18 00:00:00,0.03,0.01,26.11,0,0,0,220.55,100,7.48,0.001,0.02,0.36,0.14,0.18,0.02,90.02,22.51,11.25,2.81,0.09,0.02,1.67,0.25,0.02,0.84,0.13,0.01,17.76,2.68,0.17,0
2011-11-19 00:00:00,0.07,0.01,26.14,0,0,0,219.01,100,7.44,0.001,0.02,0.36,0.14,0.18,0.02,89.21,22.3,11.15,2.79,0.09,0.02,1.69,0.26,0.02,0.85,0.13,0.01,17.98,2.71,0.17,0
2011-11-20 00:00:00,0.05,0.01,26.18,0,0,0,217.47,100,7.39,0.001,0.02,0.36,0.14,0.18,0.02,88.39,22.1,11.05,2.76,0.09,0.02,1.71,0.26,0.02,0.86,0.13,0.01,18.19,2.75,0.17,0
2011-11-21 00:00:00,0.05,0.01,26.21,0,0,0,215.94,100,7.34,0.001,0.02,0.36,0.14,0.18,0.02,87.58,21.89,10.95,2.74,0.09,0.02,1.73,0.26,0.02,0.87,0.13,0.01,18.4,2.78,0.17,0
2011-11-22 00:00:00,0.04,0.01,26.23,0,0,0,216.99,100,7.36,0.001,0.02,0.36,0.14,0.18,0.02,86.76,21.69,10.84,2.71,0.09,0.02,1.75,0.26,0.02,0.88,0.13,0.01,18.62,2.81,0.18,0
2011-11-23 00:00:00,0.06,0.01,26.24,0,0,0,218.05,100,7.39,0.001,0.02,0.36,0.14,0.18,0.02,85.94,21.49,10.74,2.69,0.09,0.02,1.77,0.27,0.02,0.89,0.13,0.01,18.83,2.84,0.18,0
2011-11-24 00:00:00,0.07,0.01,26.26,0,0,0,219.1,100,7.42,0.001,0.02,0.36,0.14,0.18,0.02,85.13,21.28,10.64,2.66,0.09,0.02,1.79,0.27,0.02,0.9,0.14,0.01,19.05,2.88,0.18,0
2011-11-25 00:00:00,0,0.01,26.28,0,0,0,220.16,100,7.44,0.001,0.02,0.36,0.14,0.18,0.02,84.31,21.08,10.54,2.63,0.09,0.02,1.81,0.27,0.02,0.91,0.14,0.01,19.26,2.91,0.18,0
2011-11-26 00:00:00,0,0.01,26.29,0,0,0,221.21,100,7.46,0.001,0.02,0.36,0.14,0.17,0.02,83.49,20.87,10.44,2.61,0.09,0.02,1.83,0.28,0.02,0.92,0.14,0.01,19.48,2.94,0.18,0
2011-11-27 00:00:00,0,0.01,26.31,0,0,0,222.27,100,7.49,0.001,0.02,0.36,0.14,0.17,0.02,82.68,20.67,10.33,2.58,0.09,0.02,1.85,0.28,0.02,0.93,0.14,0.01,19.69,2.97,0.19,0
2011-11-28 00:00:00,0,0.01,26.33,0,0,0,223.32,100,7.52,0.001,0.02,0.36,0.14,0.17,0.02,81.86,20.47,10.23,2.56,0.09,0.02,1.87,0.28,0.02,0.94,0.14,0.01,19.9,3,0.19,0
2011-11-29 00:00:00,0.05,0.01,26.34,0,0,0,224.38,100,7.54,0.001,0.02,0.36,0.14,0.17,0.02,81.04,20.26,10.13,2.53,0.08,0.02,1.89,0.29,0.02,0.95,0.14,0.01,20.12,3.04,0.19,0
2011-11-30 00:00:00,0.02,0.01,26.36,0,0,0,225.43,100,7.56,0.001,0.02,0.36,0.14,0.17,0.02,80.23,20.06,10.03,2.51,0.08,0.02,1.91,0.29,0.02,0.96,0.14,0.01,20.33,3.07,0.19,0
2011-12-01 00:00:00,0,0.01,26.38,0,0,0,226.48,100,7.59,0.001,0.02,0.36,0.14,0.17,0.02,79.41,19.85,9.93,2.48,0.08,0.02,1.93,0.29,0.02,0.97,0.15,0.01,20.55,3.1,0.19,0
2011-12-02 00:00:00,0,0.01,26.4,0,0,0,227.54,100,7.62,0.001,0.02,0.36,0.14,0.17,0.02,78.6,19.65,9.82,2.46,0.08,0.02,1.95,0.29,0.02,0.98,0.15,0.01,20.76,3.13,0.2,0
2011-12-03 00:00:00,0,0.01,26.41,0,0,0,228.59,100,7.64,0.001,0.02,0.36,0.14,0.17,0.02,77.78,19.44,9.72,2.43,0.08,0.02,1.97,0.3,0.02,0.99,0.15,0.01,20.98,3.17,0.2,0
2011-12-04 00:00:00,0,0.01,26.43,0,0,0,229.65,100,7.67,0.001,0.02,0.36,0.14,0.16,0.02,76.96,19.24,9.62,2.41,0.08,0.02,1.99,0.3,0.02,1,0.15,0.01,21.19,3.2,0.2,0
2011-12-05 00:00:00,0,0.01,26.45,0,0,0,230.7,100,7.69,0.001,0.02,0.36,0.14,0.16,0.02,76.15,19.04,9.52,2.38,0.08,0.02,2.01,0.3,0.02,1.01,0.15,0.01,21.41,3.23,0.2,0
2011-12-06 00:00:00,0,0.01,26.46,0,0,0,231.76,100,7.72,0.001,0.02,0.36,0.14,0.16,0.02,75.33,18.83,9.42,2.35,0.08,0.02,2.03,0.31,0.02,1.02,0.15,0.01,21.62,3.26,0.2,0
2011-12-07 00:00:00,0,0.01,26.48,0,0,0,232.81,100,7.74,0.001,0.02,0.36,0.14,0.16,0.02,74.51,18.63,9.31,2.33,0.08,0.02,2.06,0.31,0.02,1.03,0.16,0.01,21.83,3.3,0.21,0
2011-12-08 00:00:00,0.03,0.01,26.5,0,0,0,231.36,100,7.7,0.001,0.02,0.36,0.14,0.16,0.02,74.68,18.67,9.33,2.33,0.08,0.02,2.08,0.31,0.02,1.04,0.16,0.01,22.05,3.33,0.21,0
2011-12-09 00:00:00,0,0.01,26.52,0,0,0,229.91,100,7.67,0.001,0.02,0.36,0.14,0.17,0.02,74.84,18.71,9.36,2.34,0.08,0.02,2.1,0.32,0.02,1.05,0.16,0.01,22.26,3.36,0.21,0
2011-12-10 00:00:00,0,0.01,26.54,0,0,0,228.46,100,7.63,0.001,0.02,0.36,0.14,0.17,0.02,75,18.75,9.38,2.34,0.07,0.02,2.12,0.32,0.02,1.06,0.16,0.01,22.48,3.39,0.21,0
2011-12-11 00:00:00,0,0.01,26.56,0,0,0,227.01,100,7.59,0.001,0.02,0.36,0.14,0.17,0.02,75.17,18.79,9.4,2.35,0.07,0.02,2.14,0.32,0.02,1.07,0.16,0.01,22.69,3.43,0.21,0
2011-12-12 00:00:00,0.08,0.01,26.58,0,0,0,225.56,100,7.56,0.001,0.02,0.36,0.14,0.17,0.02,75.33,18.83,9.42,2.35,0.07,0.02,2.16,0.33,0.02,1.08,0.16,0.01,22.91,3.46,0.22,0
2011-12-13 00:00:00,0,0.01,26.6,0,0,0,224.11,100,7.52,0.001,0.02,0.36,0.14,0.18,0.02,75.49,18.87,9.44,2.36,0.07,0.02,2.18,0.33,0.02,1.09,0.16,0.01,23.12,3.49,0.22,0
2011-12-14 00:00:00,0,0.01,26.62,0,0,0,222.66,100,7.49,0.001,0.02,0.36,0.14,0.18,0.02,75.66,18.91,9.46,2.36,0.07,0.02,2.2,0.33,0.02,1.1,0.17,0.01,23.34,3.52,0.22,0
2011-12-15 00:00:00,0,0.01,26.63,0,0,0,221.21,100,7.45,0.001,0.02,0.36,0.14,0.18,0.02,75.82,18.96,9.48,2.37,0.07,0.02,2.22,0.33,0.02,1.11,0.17,0.01,23.55,3.55,0.22,0
2011-12-16 00:00:00,0,0.01,26.65,0,0,0,219.75,100,7.41,0.001,0.02,0.36,0.14,0.18,0.02,75.98,19,9.5,2.37,0.07,0.02,2.24,0.34,0.02,1.12,0.17,0.01,23.76,3.59,0.22,0
2011-12-17 00:00:00,0,0.01,26.67,0,0,0,218.3,100,7.38,0.001,0.02,0.36,0.14,0.18,0.02,76.15,19.04,9.52,2.38,0.07,0.02,2.26,0.34,0.02,1.13,0.17,0.01,23.98,3.62,0.23,0
2011-12-18 00:00:00,0,0.01,26.69,0,0,0,216.85,100,7.34,0.001,0.02,0.36,0.14,0.19,0.02,76.31,19.08,9.54,2.38,0.07,0.02,2.28,0.34,0.02,1.14,0.17,0.01,24.19,3.65,0.23,0
2011-12-19 00:00:00,0,0.01,26.71,0,0,0,215.4,100,7.3,0.001,0.02,0.36,0.14,0.19,0.02,76.47,19.12,9.56,2.39,0.07,0.02,2.3,0.35,0.02,1.15,0.17,0.01,24.41,3.68,0.23,0
2011-12-20 00:00:00,0.02,0.01,26.73,0,0,0,213.95,100,7.27,0.001,0.02,0.36,0.14,0.19,0.02,76.64,19.16,9.58,2.39,0.07,0.02,2.32,0.35,0.02,1.16,0.17,0.01,24.62,3.72,0.23,0
2011-12-21 00:00:00,1.71,0.01,26.75,0,0,0,212.5,100,7.23,0.001,0.02,0.36,0.14,0.19,0.02,76.8,19.2,9.6,2.4,0.06,0.02,2.34,0.35,0.02,1.17,0.18,0.01,24.84,3.75,0.23,0
2011-12-22 00:00:00,1.54,0.01,26.78,0,0,0,214.17,100,7.27,0.001,0.02,0.36,0.14,0.2,0.02,76.96,19.24,9.62,2.41,0.06,0.02,2.36,0.36,0.02,1.18,0.18,0.01,25.05,3.78,0.24,0
2011-12-23 00:00:00,1.36,0.01,26.81,0,0,0,215.85,100,7.3,0.001,0.02,0.36,0.14,0.2,0.02,77.13,19.28,9.64,2.41,0.06,0.02,2.38,0.36,0.02,1.19,0.18,0.01,25.26,3.81,0.24,0
2011-12-24 00:00:00,1.66,0.01,26.84,0,0,0,217.52,100,7.34,0.001,0.02,0.36,0.14,0.2,0.02,77.29,19.32,9.66,2.42,0.06,0.02,2.4,0.36,0.02,1.2,0.18,0.01,25.48,3.85,0.24,0
2011-12-25 00:00:00,2.45,0.01,26.86,0,0,0,219.2,100,7.38,0.001,0.02,0.36,0.14,0.2,0.02,77.45,19.36,9.68,2.42,0.06,0.02,2.42,0.37,0.02,1.21,0.18,0.01,25.69,3.88,0.24,0
2011-12-26 00:00:00,1.96,0.01,26.89,0,0,0,220.87,100,7.41,0.001,0.02,0.36,0.14,0.21,0.02,77.62,19.4,9.7,2.43,0.06,0.01,2.44,0.37,0.02,1.22,0.18,0.01,25.91,3.91,0.24,0
2011-12-27 00:00:00,2.32,0.01,26.92,0,0,0,222.54,100,7.45,0.001,0.02,0.36,0.14,0.21,0.02,77.78,19.44,9.72,2.43,0.06,0.01,2.46,0.37,0.02,1.23,0.19,0.01,26.12,3.94,0.25,0
2011-12-28 00:00:00,1.47,0.01,26.95,0,0,0,224.22,100,7.49,0.001,0.02,0.36,0.14,0.21,0.02,77.94,19.49,9.74,2.44,0.06,0.01,2.48,0.37,0.02,1.24,0.19,0.01,26.34,3.98,0.25,0
2011-12-29 00:00:00,1.33,0.01,26.98,0,0,0,225.89,100,7.52,0.001,0.02,0.36,0.14,0.21,0.02,78.11,19.53,9.76,2.44,0.06,0.01,2.5,0.38,0.02,1.25,0.19,0.01,26.55,4.01,0.25,0
2011-12-30 00:00:00,1.15,0.01,27.01,0,0,0,227.57,100,7.56,0.001,0.02,0.36,0.14,0.21,0.02,78.27,19.57,9.78,2.45,0.06,0.01,2.52,0.38,0.02,1.26,0.19,0.01,26.77,4.04,0.25,0
2011-12-31 00:00:00,3.42,0.01,27.04,0,0,0,229.24,100,7.59,0.001,0.02,0.36,0.14,0.22,0.02,78.43,19.61,9.8,2.45,0.06,0.01,2.54,0.38,0.02,1.27,0.19,0.01,26.98,4.07,0.25,0
2012-01-01 00:00:00,1.47,0.01,27.06,0,0,0,230.92,100,7.63,0.001,0.02,0.36,0.14,0.22,0.02,78.6,19.65,9.82,2.46,0.05,0.01,2.56,0.39,0.02,1.28,0.19,0.01,27.19,4.1,0.26,0
2012-01-02 00:00:00,1.24,0.01,27.09,0,0,0,232.59,100,7.67,0.001,0.02,0.36,0.14,0.22,0.02,78.76,19.69,9.84,2.46,0.05,0.01,2.58,0.39,0.02,1.29,0.19,0.01,27.41,4.14,0.26,0
2012-01-03 00:00:00,1.13,0.01,27.12,0,0,0,234.26,100,7.7,0.001,0.02,0.36,0.14,0.22,0.02,78.92,19.73,9.87,2.47,0.05,0.01,2.6,0.39,0.02,1.3,0.2,0.01,27.62,4.17,0.26,0
2012-01-04 00:00:00,0.96,0.01,27.15,0,0,0,235.94,100,7.74,0.001,0.02,0.36,0.14,0.23,0.02,79.09,19.77,9.89,2.47,0.05,0.01,2.62,0.4,0.02,1.31,0.2,0.01,27.84,4.2,0.26,0
2012-01-05 00:00:00,0.84,0.01,27.15,0,0,0,235.07,100,7.73,0.001,0.02,0.38,0.16,0.22,0.02,79.65,19.91,9.96,2.49,0.06,0.01,2.6,0.39,0.02,1.3,0.2,0.01,27.67,4.18,0.26,0
2012-01-06 00:00:00,0.72,0.01,27.14,0,0,0,234.2,100,7.73,0.001,0.02,0.4,0.17,0.22,0.02,80.21,20.05,10.03,2.51,0.06,0.02,2.59,0.39,0.02,1.29,0.2,0.01,27.51,4.15,0.26,0
2012-01-07 00:00:00,0.63,0.01,27.14,0,0,0,233.33,100,7.72,0.001,0.02,0.42,0.18,0.21,0.02,80.77,20.19,10.1,2.52,0.06,0.02,2.57,0.39,0.02,1.29,0.19,0.01,27.34,4.13,0.26,0
2012-01-08 00:00:00,0.53,0.01,27.13,0,0,0,232.46,100,7.72,0.001,0.02,0.45,0.19,0.21,0.02,81.33,20.33,10.17,2.54,0.07,0.02,2.56,0.39,0.02,1.28,0.19,0.01,27.17,4.1,0.26,0
2012-01-09 00:00:00,0.48,0.01,27.13,0,0,0,231.58,100,7.71,0.001,0.02,0.47,0.2,0.2,0.02,81.89,20.47,10.24,2.56,0.07,0.02,2.54,0.38,0.02,1.27,0.19,0.01,27.01,4.08,0.25,0
2012-01-10 00:00:00,0.39,0.01,27.12,0,0,0,230.71,100,7.71,0.001,0.02,0.49,0.22,0.2,0.02,82.46,20.61,10.31,2.58,0.08,0.02,2.53,0.38,0.02,1.26,0.19,0.01,26.84,4.05,0.25,0
2012-01-11 00:00:00,0.38,0.01,27.12,0,0,0,229.84,100,7.7,0.001,0.02,0.51,0.23,0.19,0.02,83.02,20.75,10.38,2.59,0.08,0.02,2.51,0.38,0.02,1.26,0.19,0.01,26.68,4.03,0.25,0
2012-01-12 00:00:00,0.31,0.01,27.12,0,0,0,228.97,100,7.69,0.001,0.02,0.54,0.24,0.19,0.02,83.58,20.89,10.45,2.61,0.09,0.02,2.5,0.38,0.02,1.25,0.19,0.01,26.51,4,0.25,0
2012-01-13 00:00:00,0.31,0.01,27.11,0,0,0,228.1,100,7.69,0.001,0.02,0.56,0.25,0.18,0.02,84.14,21.04,10.52,2.63,0.09,0.02,2.48,0.37,0.02,1.24,0.19,0.01,26.35,3.98,0.25,0
2012-01-14 00:00:00,0.24,0.01,27.11,0,0,0,227.23,100,7.68,0.001,0.02,0.58,0.27,0.18,0.02,84.7,21.18,10.59,2.65,0.1,0.02,2.46,0.37,0.02,1.23,0.19,0.01,26.18,3.95,0.25,0
2012-01-15 00:00:00,0.28,0.01,27.1,0,0,0,226.36,100,7.68,0.001,0.02,0.6,0.28,0.18,0.02,85.26,21.32,10.66,2.66,0.1,0.03,2.45,0.37,0.02,1.22,0.18,0.01,26.01,3.93,0.25,0
2012-01-16 00:00:00,0.24,0.01,27.1,0,0,0,225.49,100,7.67,0.001,0.02,0.63,0.29,0.17,0.02,85.83,21.46,10.73,2.68,0.1,0.03,2.43,0.37,0.02,1.22,0.18,0.01,25.85,3.9,0.24,0
2012-01-17 00:00:00,0.23,0.01,27.09,0,0,0,224.62,100,7.67,0.001,0.02,0.65,0.3,0.17,0.02,86.39,21.6,10.8,2.7,0.11,0.03,2.42,0.36,0.02,1.21,0.18,0.01,25.68,3.88,0.24,0
2012-01-18 00:00:00,0.23,0.01,27.09,0,0,0,223.75,100,7.66,0.001,0.02,0.67,0.31,0.16,0.02,86.95,21.74,10.87,2.72,0.11,0.03,2.4,0.36,0.02,1.2,0.18,0.01,5,3.85,0.24,0
2012-01-19 00:00:00,0.25,0.01,27.1,0,0,0,223.41,100,7.65,0.001,0.02,0.69,0.33,0.16,0.02,87.51,21.88,10.94,2.73,0.12,0.03,2.39,0.36,0.02,1.19,0.18,0.01,5,3.83,0.24,0
2012-01-20 00:00:00,0.19,0.01,27.11,0,0,0,223.08,100,7.64,0.001,0.02,0.72,0.34,0.15,0.02,88.07,22.02,11.01,2.75,0.12,0.03,2.37,0.36,0.02,1.19,0.18,0.01,5,3.8,0.24,0
2012-01-21 00:00:00,0.17,0.01,27.12,0,0,0,222.74,100,7.63,0.001,0.02,0.74,0.35,0.15,0.01,88.63,22.16,11.08,2.77,0.13,0.03,2.35,0.36,0.02,1.18,0.18,0.01,5,3.78,0.24,0
2012-01-22 00:00:00,8.59,0.01,27.13,0,0,0,222.4,100,7.62,0.001,0.02,0.76,0.36,0.14,0.01,89.2,22.3,11.15,2.79,0.13,0.03,2.34,0.35,0.02,1.17,0.18,0.01,5,3.75,0.23,0
2012-01-23 00:00:00,5.91,0.01,27.14,0,0,0,222.07,100,7.6,0.001,0.02,0.78,0.38,0.14,0.01,89.76,22.44,11.22,2.8,0.14,0.03,2.32,0.35,0.02,1.16,0.18,0.01,5,3.73,0.23,0
2012-01-24 00:00:00,18.8,0.01,27.15,0,0,0,221.73,100,7.59,0.001,0.02,0.81,0.39,0.13,0.01,90.32,22.58,11.29,2.82,0.14,0.04,2.31,0.35,0.02,1.15,0.17,0.01,5,3.7,0.23,0
2012-01-25 00:00:00,89.05,0.01,27.16,0,0,0,221.39,100,7.58,0.001,0.02,0.83,0.4,0.13,0.01,90.88,22.72,11.36,2.84,0.14,0.04,2.29,0.35,0.02,1.15,0.17,0.01,5,3.68,0.23,0
2012-01-26 00:00:00,14.36,0.01,27.17,0,0,0,221.05,100,7.57,0.001,0.02,0.85,0.41,0.12,0.01,91.44,22.86,11.43,2.86,0.15,0.04,2.28,0.34,0.02,1.14,0.17,0.01,5,3.65,0.23,0
